Momento,Artista,Track
1 - Despertar,Ludovico Einaudi,Una Mattina
1 - Despertar,Ludovico Einaudi,Nuvole Bianche
1 - Despertar,Elton John,Your Song
1 - Despertar,Coldplay,Yellow
1 - Despertar,Utada Hikaru,First Love
1 - Despertar,Ed Sheeran,Photograph
1 - Despertar,Andrea Bocelli,Cinema Paradiso
1 - Despertar,Coldplay,Fix You
2 - Foco,Ludovico Einaudi,Experience
2 - Foco,Ludovico Einaudi,I Giorni
2 - Foco,Ludovico Einaudi,Divenire
2 - Foco,Yo-Yo Ma,Morricone: Gabriel's Oboe
2 - Foco,Yo-Yo Ma,"Bach: Cello Suite No. 1 in G Major, BWV 1007: I. Prélude"
2 - Foco,Yo-Yo Ma,Saint-Saëns: The Carnival of the Animals: XIII. The Swan
2 - Foco,Jay Chou,Nocturne
2 - Foco,Coldplay,Something Just Like This
3 - Pré-treino,J Balvin,Mi Gente
3 - Pré-treino,Rema,Calm Down
3 - Pré-treino,Wizkid,Essence
3 - Pré-treino,Drake,One Dance
3 - Pré-treino,Anitta,Envolver
3 - Pré-treino,Shakira,Hips Don't Lie
3 - Pré-treino,Kylie Minogue,Padam Padam
3 - Pré-treino,Karol G,Provenza
4 - Beast Mode,Eminem,Till I Collapse
4 - Beast Mode,Eminem,Lose Yourself
4 - Beast Mode,AC/DC,Thunderstruck
4 - Beast Mode,AC/DC,Highway to Hell
4 - Beast Mode,AC/DC,Back in Black
4 - Beast Mode,Drake,God's Plan
4 - Beast Mode,Eminem,The Real Slim Shady
4 - Beast Mode,Michael Jackson,Bad
5 - Cardio,BLACKPINK,How You Like That
5 - Cardio,BTS,Dynamite
5 - Cardio,BLACKPINK,Kill This Love
5 - Cardio,Kylie Minogue,Can't Get You Out of My Head
5 - Cardio,Ed Sheeran,Shape of You
5 - Cardio,Madonna,Hung Up
5 - Cardio,Madonna,Vogue
5 - Cardio,Burna Boy,Last Last
6 - Recovery,Adele,Someone Like You
6 - Recovery,Adele,Easy on Me
6 - Recovery,Ed Sheeran,Thinking Out Loud
6 - Recovery,Roberto Carlos,Como É Grande o Meu Amor por Você
6 - Recovery,Roberto Carlos,Detalhes
6 - Recovery,Andrea Bocelli,The Prayer
6 - Recovery,Utada Hikaru,Hikari
6 - Recovery,A.R. Rahman,Tu Hi Re
7 - Festa,Shakira,Waka Waka (This Time for Africa)
7 - Festa,Karol G,Tusa
7 - Festa,Anitta,Downtown
7 - Festa,A.R. Rahman,Jai Ho
7 - Festa,Burna Boy,Ye
7 - Festa,Wizkid,Come Closer
7 - Festa,BLACKPINK,Pink Venom
7 - Festa,Sia,Cheap Thrills
8 - Noite,Luciano Pavarotti,Puccini: Turandot / Act 3 - Nessun dorma!
8 - Noite,Andrea Bocelli,Con Te Partirò (Time to Say Goodbye)
8 - Noite,Luciano Pavarotti,'O sole mio
8 - Noite,André Rieu,Shostakovich: The Second Waltz
8 - Noite,André Rieu,Strauss: The Blue Danube
8 - Noite,Yo-Yo Ma,Piazzolla: Libertango
8 - Noite,Queen,Bohemian Rhapsody
8 - Noite,Tame Impala,Feels Like We Only Go Backwards
